"Track","Artists","Genres"
"CtrlAltDelete","BONES","dark trap;cloud rap;emo rap;horrorcore;underground hip hop;punk rap"
"Mast Magan (From ""2 States"")","Arijit Singh;Chinmayi","hindi pop;bollywood;desi;bangla pop;tollywood;tamil pop;telugu pop;kollywood;marathi pop"
"Big in Japan","Alphaville","synthpop"
"Epiphany","Ross from Friends","lo-fi house"
"Can I","Drake","rap;hip hop"
"Again","Fetty Wap",""
"The Motion","Drake","rap;hip hop"
"Down For Me (feat. 24hrs)","G-Eazy;Carnage;24hrs",""
"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)","Shoreline Mafia;Rob Vicious;OHGEESY;Fenix Flexin;Master Kato",""
"Deira City Centre","Night Lovell","dark trap;emo rap;horrorcore"
"Billie Jean","Michael Jackson",""
"World, Hold On - FISHER Rework","Bob Sinclar;Steve Edwards;FISHER","french house;disco house;tech house;house;techno"
"Copacabana (At the Copa)","Barry Manilow","adult standards"
"Aww Shit","Shoreline Mafia;OHGEESY;Rob Vicious;Master Kato",""
"OOOUUU","Young M.A",""
"Upside Down","Jack Johnson","surf rock"
"PERRO NEGRO","Bad Bunny;Feid","reggaeton;trap latino;urbano latino;latin"
"Dark Thoughts","Lil Tecca","melodic rap;rap"
"Ginseng Strip 2002","Yung Lean","cloud rap"
"Basic (feat. Fivio Foreign)","SimxSantana;Fivio Foreign","brooklyn drill;drill;new york drill;uk drill"
"Pe$Os","Boobie Lootaveli;Pouya","dark trap;horrorcore;underground hip hop;emo rap;cloud rap"
"Better Off Alone","Alice Deejay","eurodance;europop"
"Boogie Wonderland","Earth, Wind & Fire;The Emotions","disco"
"MOJABI GHOST","Tainy;Bad Bunny","reggaeton;trap latino;urbano latino;latin"
"Distance","KILLY",""
"Be My Lover","La Bouche","eurodance"
"Don't Dream It's Over","Crowded House",""
"Gotta Let You Go - Club Mix","Dominica",""
"Stereo Love (Original)","Edward Maya;Vika Jigulina",""
"Rollin (feat. Future & Khalid)","Calvin Harris;Future;Khalid;Funk Wav","edm;rap"
"Cristal & МОЁТ","MORGENSHTERN",""
"Skrt","Kodak Black",""
"Bartender (feat. Akon)","T-Pain;Akon",""
"Drank & Drugs","Lil Kleine;Ronnie Flex","nederpop"
"Playboy","Jx.Zero",""
"NOKIA","Drake","rap;hip hop"
"2 Phones","Kevin Gates",""
"GoHardHuh","BONES","dark trap;cloud rap;emo rap;horrorcore;underground hip hop;punk rap"
"HDMI","BONES","dark trap;cloud rap;emo rap;horrorcore;underground hip hop;punk rap"
"Water","Ugly God",""
"Show Me Love (feat. Robin S)","Steve Angello;Laidback Luke;Robin S","progressive house;big room;electro house;eurodance"
"On the Spot","WAV",""
"That's a Rack","Lil Uzi Vert","melodic rap"
"Heartless","Kanye West","rap"
"Brother Louie","Modern Talking","italo disco;europop;eurodance"
"Circadian Rhythm","Drake","rap;hip hop"
"Caroline (feat. Polo G)","Calboy;Polo G","melodic rap"
"Mr. Saxobeat - Radio Edit","Alexandra Stan",""
"Hold On, We're Going Home","Drake;Majid Jordan","rap;hip hop"
"Yoshi City","Yung Lean","cloud rap"
"LA Flocker / Rackae","Shoreline Mafia;Rob Vicious",""
"Freestyle","Lil Baby",""
"Gata Only","FloyyMenor;Cris Mj","reggaeton chileno;chilean trap;chilean mambo;reggaeton"
"A.D.H.D","Kendrick Lamar","hip hop;west coast hip hop"
"Passionfruit","Drake","rap;hip hop"
"Ginza","J Balvin","reggaeton;latin"
"Alors On Danse - Remix - Explicit","Stromae;Kanye West;Gilbere Forte","french pop;rap"
"On God","Kanye West","rap"
"No Flockin'","Kodak Black",""
"Solo","Future","rap"
"Ric Flair Drip (with Metro Boomin)","Offset;Metro Boomin",""
"Unforgettable","French Montana;Swae Lee",""
"Location","Playboi Carti","rage rap"
"Yes","LMFAO",""
"How Many","Guapdad 4000;!llmind",""
"Bread Winners","YBN (Young Boss N*ggas);YBN Nahmir;Almighty Jay",""
"Both (feat. Drake)","Gucci Mane;Drake","southern hip hop;rap;trap;hip hop"
"Gecko (Overdrive)","Oliver Heldens;Becky Hill","future house;house"
"The Rhythm of the Night","Corona","eurodance"
"Tapout","Rich Gang;Lil Wayne;Birdman;Mack Maine;Nicki Minaj;Future","rap;hip hop;southern hip hop"
"Sniper","Castillo_1st",""
"Get It Together","Drake;Black Coffee;Jorja Smith","rap;hip hop;afro house;house"
"Maniac","Michael Sembello",""
"Hollow Be Thy Squad","Xavier Wulf","cloud rap;dark trap;underground hip hop;memphis rap;emo rap"
"White Iverson","Post Malone",""
"3005","Childish Gambino",""
"pick up the phone","Young Thug;Travis Scott","rap;melodic rap;trap"
"Basbousa Song","Ahmad H Music","khaleeji"
"Brown Munde","AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon","punjabi hip hop;punjabi pop;desi;bhangra;desi hip hop;desi pop"
"Smoke Shisha Play Fifa","Jordindian","desi hip hop;hindi hip hop"
"Cara De Payaso","Tito Rodriguez","bolero;latin jazz;mambo;salsa;son cubano;cha cha cha"
"Stay Schemin","Rick Ross;French Montana;Drake","southern hip hop;rap;hip hop"
"$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)","Lil Dicky;Fetty Wap;Rich Homie Quan","southern hip hop"
"Too Hotty","Quality Control;Migos;Eurielle","trap;celtic;medieval"
"Don't Stop 'Til You Get Enough","Michael Jackson",""
"beibs in the trap","Travis Scott","rap"
"Ransom","Lil Tecca","melodic rap;rap"
"Poetic Justice","Kendrick Lamar;Drake","hip hop;west coast hip hop;rap"
"Bankroll","Rich The Kid;YoungBoy Never Broke Again","trap"
"Kyrie","88GLAM","melodic rap"
"Whiplash'd","Xavier Wulf","cloud rap;dark trap;underground hip hop;memphis rap;emo rap"
"Morning Dew","Xavier Wulf;BONES","cloud rap;dark trap;underground hip hop;memphis rap;emo rap;horrorcore;punk rap"
"Notice Me","Migos;Post Malone","trap"
"Dubai Shit","Huncho Jack;Travis Scott;Quavo;Offset","rap"
"BERETTA (feat. Wifisfuneral)","$NOT;Wifisfuneral","dark trap;underground hip hop"
"Alors on danse - Radio Edit","Stromae","french pop"
"12","88GLAM","melodic rap"
"Know No Better","Major Lazer;Travis Scott;Camila Cabello;Quavo","moombahton;rap"
"LVL","A$AP Rocky","rap"
"We Dem Boyz","Wiz Khalifa","rap"
"Go Loko (feat. Tyga, Jon Z)","YG;Tyga;Jon Z","trap latino;trap;dembow"
"Ab To Forever","Vishal-Shekhar;KK;Shreya Ghoshal;Vishal Dadlani;Javed Akhtar","bollywood;desi;hindi pop;kannada pop;marathi pop;desi pop;sufi"
"Let Me Know (I Wonder Why Freestyle)","Juice WRLD","melodic rap;emo rap"
"Make Some Noise For The Desi Boyz","Pritam;KK;Bob","bollywood;hindi pop;desi;sufi"
"March Madness","Future","rap"
"WISH FEAT. KIDDO MARV","Denzel Curry;Kiddo Marv","punk rap"
"Hot N*gga","Bobby Shmurda",""
"Mask Off","Future","rap"
"Show Me (feat. Chris Brown)","Kid Ink;Chris Brown","r&b"
"#BrooklynBloodPop!","SyKo","hyperpop"
"500lbs","Lil Tecca","melodic rap;rap"
"Dark Queen","Lil Uzi Vert","melodic rap"
"Double Back","Freshie","rage rap"
"Freed from Desire","Gala","eurodance"
"Human Nature","Michael Jackson",""
"Tu Mera Hero","Pritam;Mika Singh;Shefali Alvares","bollywood;hindi pop;desi;sufi"
"Ратата","Konfuz",""
"Tell 'Em","Rah Swish","brooklyn drill;new york drill;drill"
"THAT'S NORF, PT. 2 (feat. FOE & Bueno Da Champ)","Rucci;FOE;Bueno Da Champ",""
"DotA - Radio Edit","Basshunter","eurodance;europop"
