artist,count
"Playboi Carti",100
"Lil Uzi Vert",87
"Drake",68
"Future",59
"Travis Scott",47
"Kendrick Lamar",38
"Kanye West",36
"Ken Carson",23
"A$AP Rocky",22
"Juice WRLD",18
"Young Thug",16
"XXXTENTACION",15
"Lil Tecca",14
"Metro Boomin",14
"Don Toliver",14
"Gunna",13
"OHGEESY",12
"Bad Bunny",12
"NAV",12
"Michael Jackson",11
"Lil Baby",11
"Lil Wayne",11
"Tyler, The Creator",11
"Shoreline Mafia",10
"Fenix Flexin",9
"Trippie Redd",9
"Lil Yachty",9
"Destroy Lonely",9
"Xavier Wulf",8
"Offset",8
"Quavo",8
"21 Savage",8
"PARTYNEXTDOOR",8
"Ty Dolla $ign",8
"The Weeknd",8
"BONES",7
"Kodak Black",7
"Baby Keem",7
"PinkPantheress",7
"T-Pain",6
"Migos",6
"Tyga",6
"Basshunter",6
"Wiz Khalifa",6
"A Boogie Wit da Hoodie",6
"Eminem",6
"Kid Cudi",6
"J. Cole",6
"SZA",6
"Bazzi",6
"LMFAO",5
"YG",5
"Lil Mosey",5
"Rick Ross",5
"Fetty Wap",5
"Frank Ocean",5
"Nicki Minaj",5
"Brent Faiyaz",5
"Tory Lanez",5
"Chief Keef",5
"Calvin Harris",4
"88GLAM",4
"DaBaby",4
"6ix9ine",4
"Swae Lee",4
"Gucci Mane",4
"Central Cee",4
"Mac Miller",4
"J Balvin",4
"Empire Of The Sun",4
"Ski Mask The Slump God",4
"Bruno Mars",4
"¥$",4
"Ross from Friends",3
"Rob Vicious",3
"Yung Lean",3
"Pouya",3
"Polo G",3
"YBN Nahmir",3
"Post Malone",3
"Childish Gambino",3
"Huncho Jack",3
"Pritam",3
"Denzel Curry",3
"Chris Brown",3
"Tee Grizzley",3
"Drakeo the Ruler",3
"G-Eazy",3
"Akon",3
"Rich Homie Quan",3
"KK",3
"Big Sean",3
"Key Glock",3
"Miguel",3
"Jhené Aiko",3
"Vishal-Shekhar",3
"Justin Bieber",3
"NLE Choppa",3
"Rihanna",3
"ian",3
"Skepta",3
"Billie Eilish",3
"citimall",3
"The Kid LAROI",3
"Arijit Singh",2
"Alphaville",2
"Master Kato",2
"Bob Sinclar",2
"Steve Edwards",2
"Young M.A",2
"KILLY",2
"Edward Maya",2
"Vika Jigulina",2
"Funk Wav",2
"Lil Kleine",2
"Ronnie Flex",2
"Modern Talking",2
"FloyyMenor",2
"Stromae",2
"French Montana",2
"Guapdad 4000",2
"Almighty Jay",2
"Rich Gang",2
"Quality Control",2
"Rich The Kid",2
"$NOT",2
"Wifisfuneral",2
"Kid Ink",2
"Mika Singh",2
"Shefali Alvares",2
"Rah Swish",2
"$tupid Young",2
"Rae Sremmurd",2
"JAY-Z",2
"Akcent",2
"Pop Smoke",2
"Shy Glizzy",2
"Yung Gravy",2
"Giggs",2
"Rich Brian",2
"Men At Work",2
"Shordie Shordie",2
"Joey Bada$$",2
"INNA",2
"Oliver Tree",2
"Cafuné",2
"Diplo",2
"Robin Schulz",2
"FISHER",2
"Tainy",2
"Khalid",2
"Oliver Heldens",2
"AP Dhillon",2
"Jordindian",2
"YoungBoy Never Broke Again",2
"Javed Akhtar",2
"will.i.am",2
"Tems",2
"2 Chainz",2
"Mike WiLL Made-It",2
"sped up nightcore",2
"iann dior",2
"GloRilla",2
"Dwele",2
"Imogen Heap",2
"Clams Casino",2
"Jay Rock",2
"Lil Durk",2
"El Alfa",2
"Blxst",2
"Yebba",2
"Wizkid",2
"Kyla",2
"ScHoolboy Q",2
"Sampha",2
"Homixide Gang",2
"WanMor",2
"A$AP Ferg",2
"Young Nudy",2
"Sexyy Red",2
"Chappell Roan",2
"Yeat",2
"Masego",2
"King Von",2
"Sunidhi Chauhan",2
"50 Cent",2
"MC Virgins",2
"41",1
"Chinmayi",1
"Carnage",1
"24hrs",1
"Night Lovell",1
"Barry Manilow",1
"Jack Johnson",1
"Feid",1
"SimxSantana",1
"Fivio Foreign",1
"Boobie Lootaveli",1
"Alice Deejay",1
"Earth, Wind & Fire",1
"The Emotions",1
"La Bouche",1
"Crowded House",1
"Dominica",1
"MORGENSHTERN",1
"Jx.Zero",1
"Kevin Gates",1
"Ugly God",1
"Steve Angello",1
"Laidback Luke",1
"Robin S",1
"WAV",1
"Calboy",1
"Alexandra Stan",1
"Majid Jordan",1
"Cris Mj",1
"Gilbere Forte",1
"!llmind",1
"YBN (Young Boss N*ggas)",1
"Becky Hill",1
"Corona",1
"Birdman",1
"Mack Maine",1
"Castillo_1st",1
"Black Coffee",1
"Jorja Smith",1
"Michael Sembello",1
"Ahmad H Music",1
"Gminxr",1
"Gurinder Gill",1
"Shinda Kahlon",1
"Tito Rodriguez",1
"Lil Dicky",1
"Eurielle",1
"Major Lazer",1
"Camila Cabello",1
"Jon Z",1
"Shreya Ghoshal",1
"Vishal Dadlani",1
"Bob",1
"Kiddo Marv",1
"Bobby Shmurda",1
"SyKo",1
"Freshie",1
"Gala",1
"Konfuz",1
"Rucci",1
"FOE",1
"Bueno Da Champ",1
"B.o.B",1
"Slim Jxmmi",1
"GoonRock",1
"Eva Simons",1
"Curly Savv",1
"Robbioso",1
"Snoop Dogg",1
"YG Rob",1
"7 FN",1
"Rowdy Rebel",1
"PnB Rock",1
"Lil Skies",1
"DeJ Loaf",1
"1takejay",1
"bbno$",1
"Pimp Tobi",1
"Keith Ape",1
"Dave",1
"Yo Gotti",1
"Desiigner",1
"Natalia Kills",1
"Pharrell Williams",1
"Station Wagon P",1
"SNAP!",1
"Lil 2z",1
"Modjo",1
"Aaron May",1
"Meghan Trainor",1
"Ace Hood",1
"Xavier Weeks",1
"Logic",1
"Duane Eddy",1
"RaiM",1
"Артур",1
"Adil",1
"2Scratch",1
"Rauw Alejandro",1
"Lyanno",1
"Brray",1
"Klaus Badelt",1
"Rauf & Faik",1
"Bob Taylor",1
"Anirudh Ravichander",1
"Dhanush",1
"GoldLink",1
"Faydee",1
"Leftside",1
"OTP",1
"BM",1
"SAVA",1
"Mini",1
"Celia Cruz",1
"The Police",1
"LOSTBOYJAY",1
"Daryl Hall & John Oates",1
"Eladio Carrion",1
"Timbaland",1
"Keri Hilson",1
"D.O.E.",1
"Tony Dize",1
"CKay",1
"ElGrandeToto",1
"Sobel",1
"Jack Harlow",1
"Nebezao",1
"ManMan Savage",1
"03 Greedo",1
"Eric Prydz",1
"OFB",1
"Bandokay",1
"Vince Staples",1
"GoodFinesse",1
"Desto Dubb",1
"Cordae",1
"Swedish House Mafia",1
"John Martin",1
"TV Girl",1
"Haddaway",1
"DJ Mental Theos Bazzheadz",1
"UB40",1
"Aflacko",1
"Kerri Chandler",1
"Dennis Quin",1
"Troy Denari",1
"Flight of the Conchords",1
"Sage The Gemini",1
"Bobby Raps",1
"MATRANG",1
"Mustard",1
"The Drums",1
"New Edition",1
"Route 94",1
"Jess Glynne",1
"Tears For Fears",1
"Yeah Yeah Yeahs",1
"A-Trak",1
"Mitchel",1
"16yrold",1
"Jaden Bojsen",1
"Sami Brielle",1
"Tskinz",1
"INTERWORLD",1
"Murda Beatz",1
"DJ Khaled",1
"Lykke Li",1
"The Magician",1
"DRAM",1
"DJ SpinKing",1
"Fridayy",1
"Thouxanbanfauni",1
"KYLE",1
"PSY",1
"Gucci Dassy",1
"Adele",1
"KGodd",1
"Strawberry Guy",1
"Nikolai Rimsky-Korsakov",1
"Isaac Stern",1
"Milton Katims",1
"Columbia Symphony Orchestra",1
"Afterskool Special feat. Jimmy Urine",1
"Fake Shark Real Zombie",1
"Jimmy Urine",1
"voided<3",1
"paulys x",1
"Sergio Mendes & Brasil '66",1
"Мэвл",1
"MysticDreamer",1
"Sha EK",1
"Bandmanrill",1
"Everything But The Girl",1
"Todd Terry",1
"Ralfy the Plug",1
"Rvssian",1
"Lil Tjay",1
"Pitbull",1
"Farruko",1
"IAmChino",1
"Omar Courtz",1
"Dennis De Laat",1
"Blueface",1
"Argy",1
"The Sugarhill Gang",1
"Kyle Richh",1
"Billy Idol",1
"Mr. Probz",1
"Stardust",1
"Benjamin Diamond",1
"Alan Braxe",1
"Thomas Bangalter",1
"$uicideboy$",1
"BJ The Chicago Kid",1
"6 Dogs",1
"Harshdeep Kaur",1
"Capital Cities",1
"Mike Sherm",1
"Dream, Ivory",1
"Speaker Knockerz",1
"Omarion",1
"RONRONTHEPRODUCER",1
"Disciples",1
"Peso Peso",1
"Chrisette Michele",1
"Myles Lloyd",1
"Ayra Starr",1
"MC Eiht",1
"Playboi Cartiz",1
"Young Stoner Life",1
"Meek Mill",1
"T-Shyne",1
"Latto",1
"Santigold",1
"ROSÉ",1
"Ian Asher",1
"Sérgio Mendes",1
"lique",1
"Daniel Caesar",1
"Charli xcx",1
"Anitta",1
"Megan Thee Stallion",1
"Yuki Chiba",1
"Matt OX",1
"MAX",1
"JVKE",1
"JPEGMAFIA",1
"Yo Yo Honey Singh",1
"Neha Kakkar",1
"Jessica Pratt",1
"Travis Barker",1
"Lady Gaga",1
"Addison Rae",1
"Akilho",1
"Shruti Pathak",1
"Salim Merchant",1
"Salaam Remi",1
"Famous Dex",1
"Rebecca Black",1
"Backstreet Boys",1
"Red Coldhearted",1
"Swizz Beatz",1
"Pi’erre Bourne",1
"Kita Alexander",1
"d4vd",1
"Hanumankind",1
"Kalmi",1
"Teezo Touchdown",1
"MGMT",1
"Ratatat",1
"Internet Money",1
"Oh Wonder",1
"GELO",1
"WizTheMc",1
"bees & honey",1
"Lupe Fiasco",1
"D.O.D",1
"Mohit Chauhan",1
"Neha Bhasin",1
"Shaan",1
"Sam Dew",1
"ABRA",1
"Boys Noize",1
"ARIZONATEARS",1
"Shilpa Rao",1
"Anvita Dutt Guptan",1
"Amanda Reifer",1
"Lizzo",1
"Lefty Gunplay",1
"Mike Posner",1
"Seeb",1
"BL3SS",1
"CamrinWatsin",1
"bbyclose",1
"Ice Spice",1
"astral",1
"void",1
"mol$ archive",1
"Cardi B",1
"Darell",1
"Noriel",1
"Flume",1
"Toro y Moi",1
"Madonna",1
"Wajid",1
"Suzanne D'Mello",1
"Adam Port",1
"Stryv",1
"Keinemusik",1
"Orso",1
"Malachiii",1
"Syleena Johnson",1
"The San Miguel Master Chorale",1
"Noah Cyrus",1
"Naughty Boy",1
"Sam Smith",1
"Santino Le Saint",1
"Selena Gomez",1
"benny blanco",1
"Maroon 5",1
"Christina Aguilera",1
"2Pac",1
"Outlawz",1
"Dom Corleo",1
"Rema",1
"Yoko Gold",1
"USHER",1
"Sukhwinder Singh",1
"Satya Hinduja",1
"Robert Bob Omulo",1
"Jamie Foxx",1
"Manak-E",1
"Selina",1
"R.D.B.",1
"Ryan Librada",1
"Declan McKenna",1
"Leven Kali",1
"Iniko",1
"Syd",1
"Dominic Fike",1
"Elley Duhé",1
"Whethan",1
"Kali Uchis",1
"A$AP Mob",1
"Raekwon",1
"mikeeysmind",1
"Lil Peep",1
"ILOVEMAKONNEN",1
"Fall Out Boy",1
"BROCKHAMPTON",1
"SAINt JHN",1
"Charlie Wilson",1
"Cash Cobain",1
"Willy William",1
"R5 Homixide",1
"Estelle",1
"Yun Head",1
"Dombresky",1
"SHELLS",1
"ST4RL1GHT",1
"Kareem Nova",1
"Matt Sassari",1
"Soulja Boy",1
"Sammie",1
"M.I.A.",1
