artist,count
"Drake",48
"Travis Scott",17
"Future",13
"OHGEESY",12
"Lil Uzi Vert",12
"Kanye West",12
"Playboi Carti",12
"Juice WRLD",12
"Lil Tecca",11
"Shoreline Mafia",10
"Michael Jackson",10
"Bad Bunny",10
"Lil Baby",10
"Fenix Flexin",9
"Xavier Wulf",8
"Trippie Redd",8
"NAV",8
"BONES",7
"Offset",7
"Young Thug",7
"Quavo",7
"Gunna",7
"T-Pain",6
"Kendrick Lamar",6
"Metro Boomin",6
"Migos",6
"Tyga",6
"Basshunter",6
"Kodak Black",5
"LMFAO",5
"Lil Wayne",5
"A$AP Rocky",5
"Wiz Khalifa",5
"YG",5
"Lil Yachty",5
"Lil Mosey",5
"Calvin Harris",4
"Rick Ross",4
"88GLAM",4
"XXXTENTACION",4
"DaBaby",4
"6ix9ine",4
"A Boogie Wit da Hoodie",4
"Don Toliver",4
"Ross from Friends",3
"Fetty Wap",3
"Rob Vicious",3
"Yung Lean",3
"Pouya",3
"Polo G",3
"Swae Lee",3
"YBN Nahmir",3
"Gucci Mane",3
"Post Malone",3
"Childish Gambino",3
"Huncho Jack",3
"Pritam",3
"Denzel Curry",3
"Chris Brown",3
"Baby Keem",3
"21 Savage",3
"Tee Grizzley",3
"Drakeo the Ruler",3
"Central Cee",3
"Mac Miller",3
"Frank Ocean",3
"PARTYNEXTDOOR",3
"Arijit Singh",2
"Alphaville",2
"G-Eazy",2
"Master Kato",2
"Bob Sinclar",2
"Steve Edwards",2
"Young M.A",2
"KILLY",2
"Edward Maya",2
"Vika Jigulina",2
"Funk Wav",2
"Akon",2
"Lil Kleine",2
"Ronnie Flex",2
"Modern Talking",2
"FloyyMenor",2
"J Balvin",2
"Stromae",2
"French Montana",2
"Guapdad 4000",2
"Almighty Jay",2
"Rich Gang",2
"Nicki Minaj",2
"Rich Homie Quan",2
"Quality Control",2
"Rich The Kid",2
"$NOT",2
"Wifisfuneral",2
"KK",2
"Kid Ink",2
"Mika Singh",2
"Shefali Alvares",2
"Rah Swish",2
"Brent Faiyaz",2
"$tupid Young",2
"Rae Sremmurd",2
"JAY-Z",2
"Ty Dolla $ign",2
"Akcent",2
"Pop Smoke",2
"Shy Glizzy",2
"Yung Gravy",2
"Giggs",2
"Rich Brian",2
"Men At Work",2
"Big Sean",2
"Shordie Shordie",2
"Key Glock",2
"Joey Bada$$",2
"INNA",2
"Oliver Tree",2
"Cafuné",2
"Empire Of The Sun",2
"Eminem",2
"Diplo",2
"Robin Schulz",2
"Miguel",2
"Jhené Aiko",2
"41",1
"Chinmayi",1
"Carnage",1
"24hrs",1
"Night Lovell",1
"FISHER",1
"Barry Manilow",1
"Jack Johnson",1
"Feid",1
"SimxSantana",1
"Fivio Foreign",1
"Boobie Lootaveli",1
"Alice Deejay",1
"Earth, Wind & Fire",1
"The Emotions",1
"Tainy",1
"La Bouche",1
"Crowded House",1
"Dominica",1
"Khalid",1
"MORGENSHTERN",1
"Jx.Zero",1
"Kevin Gates",1
"Ugly God",1
"Steve Angello",1
"Laidback Luke",1
"Robin S",1
"WAV",1
"Calboy",1
"Alexandra Stan",1
"Majid Jordan",1
"Cris Mj",1
"Gilbere Forte",1
"!llmind",1
"YBN (Young Boss N*ggas)",1
"Oliver Heldens",1
"Becky Hill",1
"Corona",1
"Birdman",1
"Mack Maine",1
"Castillo_1st",1
"Black Coffee",1
"Jorja Smith",1
"Michael Sembello",1
"Ahmad H Music",1
"AP Dhillon",1
"Gminxr",1
"Gurinder Gill",1
"Shinda Kahlon",1
"Jordindian",1
"Tito Rodriguez",1
"Lil Dicky",1
"Eurielle",1
"YoungBoy Never Broke Again",1
"Major Lazer",1
"Camila Cabello",1
"Jon Z",1
"Vishal-Shekhar",1
"Shreya Ghoshal",1
"Vishal Dadlani",1
"Javed Akhtar",1
"Bob",1
"Kiddo Marv",1
"Bobby Shmurda",1
"SyKo",1
"Freshie",1
"Gala",1
"Konfuz",1
"Rucci",1
"FOE",1
"Bueno Da Champ",1
"Kid Cudi",1
"B.o.B",1
"Slim Jxmmi",1
"will.i.am",1
"GoonRock",1
"Eva Simons",1
"Curly Savv",1
"Robbioso",1
"Snoop Dogg",1
"Justin Bieber",1
"YG Rob",1
"7 FN",1
"Tems",1
"Rowdy Rebel",1
"PnB Rock",1
"Lil Skies",1
"DeJ Loaf",1
"1takejay",1
"PinkPantheress",1
"bbno$",1
"Pimp Tobi",1
"Keith Ape",1
"Dave",1
"2 Chainz",1
"Yo Gotti",1
"Desiigner",1
"Natalia Kills",1
"Mike WiLL Made-It",1
"Pharrell Williams",1
"Station Wagon P",1
"SNAP!",1
"Lil 2z",1
"Modjo",1
"Aaron May",1
"Meghan Trainor",1
"Ace Hood",1
"Xavier Weeks",1
"Logic",1
"Duane Eddy",1
"RaiM",1
"Артур",1
"Adil",1
"2Scratch",1
"Rauw Alejandro",1
"Lyanno",1
"Brray",1
"Klaus Badelt",1
"Rauf & Faik",1
"Bob Taylor",1
"sped up nightcore",1
"Anirudh Ravichander",1
"Dhanush",1
"GoldLink",1
"Faydee",1
"Leftside",1
"Ski Mask The Slump God",1
"OTP",1
"BM",1
"SAVA",1
"Mini",1
"Celia Cruz",1
"The Police",1
"LOSTBOYJAY",1
"Daryl Hall & John Oates",1
"Eladio Carrion",1
"Timbaland",1
"Keri Hilson",1
"D.O.E.",1
"Tony Dize",1
"CKay",1
"ElGrandeToto",1
"Sobel",1
"Jack Harlow",1
"Nebezao",1
"ManMan Savage",1
"03 Greedo",1
"Eric Prydz",1
"OFB",1
"Bandokay",1
"Vince Staples",1
"GoodFinesse",1
"Desto Dubb",1
"Cordae",1
"Swedish House Mafia",1
"John Martin",1
"TV Girl",1
"iann dior",1
"Haddaway",1
"DJ Mental Theos Bazzheadz",1
"UB40",1
"Aflacko",1
"Kerri Chandler",1
"Dennis Quin",1
"Troy Denari",1
"Flight of the Conchords",1
"Sage The Gemini",1
"Bobby Raps",1
"MATRANG",1
"Mustard",1
"The Drums",1
"New Edition",1
"Route 94",1
"Jess Glynne",1
"Tears For Fears",1
"Yeah Yeah Yeahs",1
"A-Trak",1
"Mitchel",1
"GloRilla",1
"16yrold",1
"Jaden Bojsen",1
"Sami Brielle",1
"Tskinz",1
"INTERWORLD",1
"Murda Beatz",1
"Dwele",1
"DJ Khaled",1
"Lykke Li",1
"The Magician",1
"DRAM",1
"DJ SpinKing",1
"Fridayy",1
"Thouxanbanfauni",1
"Imogen Heap",1
"Clams Casino",1
"Tyler, The Creator",1
"KYLE",1
"PSY",1
"Gucci Dassy",1
"Adele",1
"KGodd",1
"Strawberry Guy",1
"Nikolai Rimsky-Korsakov",1
"Isaac Stern",1
"Milton Katims",1
"Columbia Symphony Orchestra",1
"Afterskool Special feat. Jimmy Urine",1
"Fake Shark Real Zombie",1
"Jimmy Urine",1
"voided<3",1
"paulys x",1
"Sergio Mendes & Brasil '66",1
"Jay Rock",1
"Мэвл",1
"Lil Durk",1
"MysticDreamer",1
"Sha EK",1
"Bandmanrill",1
"J. Cole",1
"Everything But The Girl",1
"Todd Terry",1
"Ralfy the Plug",1
"Rvssian",1
"Lil Tjay",1
"Pitbull",1
"Farruko",1
"IAmChino",1
"El Alfa",1
"Omar Courtz",1
"Dennis De Laat",1
"Blueface",1
"Blxst",1
"Argy",1
"The Sugarhill Gang",1
"NLE Choppa",1
"Kyle Richh",1
"Yebba",1
"Billy Idol",1
"Mr. Probz",1
"Stardust",1
"Benjamin Diamond",1
"Alan Braxe",1
"Thomas Bangalter",1
"$uicideboy$",1
"Wizkid",1
"Kyla",1
"ScHoolboy Q",1
"BJ The Chicago Kid",1
"6 Dogs",1
"Harshdeep Kaur",1
"Capital Cities",1
"Mike Sherm",1
"Dream, Ivory",1
"Speaker Knockerz",1
"Omarion",1
"RONRONTHEPRODUCER",1
"Sampha",1
"SZA",1
"Disciples",1
"Tory Lanez",1
"Peso Peso",1
"Chrisette Michele",1
