"Track","Artists","Genres"
"Chill Bae","Lil Uzi Vert","melodic rap"
"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God;Juice WRLD","melodic rap;emo rap"
"Drive Me Crazy","Myles Lloyd",""
"Bora Bora (feat. Ayra Starr)","AP Dhillon;Ayra Starr","punjabi hip hop;punjabi pop;desi;bhangra;desi hip hop;desi pop;afrobeats;afrobeat;afropop;afropiano;afro soul"
"Dark Thoughts","Lil Tecca","melodic rap;rap"
"luther (with sza)","Kendrick Lamar;SZA","hip hop;west coast hip hop;r&b"
"LIL DEMON","Future","rap"
"m.A.A.d city","Kendrick Lamar;MC Eiht","hip hop;west coast hip hop;g-funk;gangster rap"
"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert","melodic rap"
"Too Good","Drake;Rihanna","rap;hip hop"
"NOKIA","Drake","rap;hip hop"
"lose you","Playboi Cartiz",""
"That Go! (feat. T-Shyne)","Young Stoner Life;Young Thug;Meek Mill;T-Shyne","rap;melodic rap;trap"
"Blick Sum (feat. Playboi Carti)","Latto;Playboi Carti","rage rap"
"Celebration Station","Lil Uzi Vert","melodic rap"
"CRUSH (with Travis Scott)","Playboi Carti;Travis Scott","rage rap;rap"
"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Rocky;Imogen Heap;Clams Casino","rap;cloud rap"
"Thought I Was Dead (feat. ScHoolboy Q & Santigold)","Tyler, The Creator;ScHoolboy Q;Santigold",""
"Type Shit","Future;Metro Boomin;Travis Scott;Playboi Carti","rap;rage rap"
"Myron","Lil Uzi Vert","melodic rap"
"APT.","ROSÉ;Bruno Mars","k-pop"
"Mas Que Nada","Oliver Heldens;Ian Asher;Sérgio Mendes","future house;house;p-pop;brazilian jazz;bossa nova;samba"
"TWIN TRIM (with Lil Uzi Vert)","Playboi Carti;Lil Uzi Vert","rage rap;melodic rap"
"Sh*t Sad","ian;Chief Keef","drill"
"Count It Up","lique",""
"St. Chroma (feat. Daniel Caesar)","Tyler, The Creator;Daniel Caesar",""
"party 4 u","Charli xcx","hyperpop;art pop"
"São Paulo (feat. Anitta)","The Weeknd;Anitta","brazilian pop;funk pop;funk carioca;funk;pagode baiano"
"Moon Relate","Lil Uzi Vert","melodic rap"
"WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign)","Playboi Carti;Young Thug;Ty Dolla $ign","rage rap;rap;melodic rap;trap"
"Shoota (feat. Lil Uzi Vert)","Playboi Carti;Lil Uzi Vert","rage rap;melodic rap"
"Come This Way","Lil Uzi Vert","melodic rap"
"Chrome Heart Tags","Lil Uzi Vert","melodic rap"
"Smoke Shisha Play Fifa","Jordindian","desi hip hop;hindi hip hop"
"RADAR","Playboi Carti","rage rap"
"Mamushi (feat. Yuki Chiba)","Megan Thee Stallion;Yuki Chiba","j-rap"
"Bitch, Don’t Kill My Vibe","Kendrick Lamar","hip hop;west coast hip hop"
"Yessirskiii","Lil Uzi Vert;21 Savage","melodic rap"
"R.I.P.","Playboi Carti","rage rap"
"TOXIC (with Skepta)","Playboi Carti;Skepta","rage rap;grime"
"Trap This Way (This Way)","Lil Uzi Vert","melodic rap"
"DIE TRYING","PARTYNEXTDOOR;Drake;Yebba","r&b;rap;hip hop"
"$$$ - with Matt Ox","XXXTENTACION;Matt OX","emo rap;rage rap"
"FINE SHIT","Playboi Carti","rage rap"
"I SEEEEEE YOU BABY BOI","Playboi Carti","rage rap"
"STRINGS (feat. JVKE & Bazzi)","MAX;JVKE;Bazzi",""
"No Auto (feat. Lil Durk)","Lil Uzi Vert;Lil Durk","melodic rap;drill"
"either on or off the drugs","JPEGMAFIA","experimental hip hop;alternative hip hop;experimental"
"UNLIMITED (FT PLAYBOI CARTI)","NAV;Playboi Carti","melodic rap;rage rap"
"BIRDS OF A FEATHER","Billie Eilish",""
"ss","Ken Carson","rage rap"
"Like That","Future;Metro Boomin;Kendrick Lamar","rap;hip hop;west coast hip hop"
"Uzi Work","Homixide Gang","rage rap"
"Leaders (feat. NAV)","Lil Uzi Vert;NAV","melodic rap"
"Got The Guap (feat. Young Thug)","Lil Uzi Vert;Young Thug","melodic rap;rap;trap"
"Power Trip (feat. Miguel)","J. Cole;Miguel","rap;r&b"
"That's a Rack","Lil Uzi Vert","melodic rap"
"Money Longer","Lil Uzi Vert","melodic rap"
"Manali Trance","Yo Yo Honey Singh;Neha Kakkar","bollywood;hindi hip hop;desi;hindi pop;punjabi pop;punjabi hip hop;desi pop;gujarati garba"
"ALL RED","Playboi Carti","rage rap"
"Rockstar Made","Playboi Carti","rage rap"
"Circo Loco","Drake;21 Savage","rap;hip hop"
"HIGHJACK","A$AP Rocky;Jessica Pratt","rap"
"Wassup (feat. Future)","Lil Uzi Vert;Future","melodic rap;rap"
"One Minute (feat. Kanye West & Travis Barker)","XXXTENTACION;Kanye West;Travis Barker","emo rap;rap;rap rock"
"Sky","Playboi Carti","rage rap"
"Swimming Pools (Drank) - Extended Version","Kendrick Lamar","hip hop;west coast hip hop"
"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator;YoungBoy Never Broke Again;Ty Dolla $ign",""
"Die With A Smile","Lady Gaga;Bruno Mars","art pop;pop"
"NOSTYLIST","Destroy Lonely","rage rap"
"Low Life (feat. The Weeknd)","Future;The Weeknd","rap"
"We Are The People","Empire Of The Sun",""
"Not An Option","Lil Uzi Vert","melodic rap"
"RATHER LIE (with The Weeknd)","Playboi Carti;The Weeknd","rage rap"
"Diet Pepsi","Addison Rae",""
"HBA","Playboi Carti","rage rap"
"Bigger Than Life","Lil Uzi Vert;WanMor","melodic rap"
"Prices","Lil Uzi Vert;WanMor","melodic rap"
